model,Name,Family,Core,Tubo-Clock,Clock,Cache,Max-Memory,Max-DIMM
unit,,,cores,GHz,GHz,MB,GiB,DIMMs
72F3,AMD EYPC 72F3,AMD Milan,8,4.1,3.7,256,4096,16
7343,AMD EYPC 7343,AMD Milan,16,3.9,3.2,128,4096,16
7313P,AMD EYPC 7313P,AMD Milan,16,3.7,3,128,4096,16
73F3,AMD EYPC 73F3,AMD Milan,16,4,3.5,256,4096,16
7413,AMD EYPC 7413,AMD Milan,24,3.6,2.65,128,4096,16
7443P,AMD EYPC 7443P,AMD Milan,24,4,2.85,128,4096,16
74F3,AMD EYPC 74F3,AMD Milan,24,4,3.2,256,4096,16
7453,AMD EYPC 7453,AMD Milan,28,3.45,2.75,64,4096,16
7513,AMD EYPC 7513,AMD Milan,32,3.65,2.6,128,4096,16
7543P,AMD EYPC 7543P,AMD Milan,32,3.7,2.8,256,4096,16
75F3,AMD EYPC 75F3,AMD Milan,32,4,2.95,256,4096,16
7643,AMD EYPC 7643,AMD Milan,48,3.6,2.3,256,4096,16
7663,AMD EYPC 7663,AMD Milan,56,3.5,2,256,4096,16
7763,AMD EYPC 7763,AMD Milan,64,3.5,2.45,256,4096,16
7713P,AMD EYPC 7713P,AMD Milan,64,3.675,2,256,4096,16
