model,Launch,Core,Core-clock,Memory-clock,Memory-size,Memory-type,Memory-bandwidth,3-pin-stereo-connector,CUDA-cores,CUDA-Compute-Capatability,Tensor-cores,RT-cores,Half-precision,Single-precision,Double-precision,DirectX,Open-GL,Open-CL,Vulkan,Power-max,Monitor-Output,Near-GeForce-Model,Notes
Units,,,MHz,MHz,GB,,GiB/s,,,,,,TFLOPS,TFLOPS,GFLOPS,,,,,Watt,,,
RTX-A6000,10/5/2020,GA102-8xx,TBA,TBA,48 (96 with NVLink 3.0),384-bit GDDR6,768,Yes,10752,8.6,336,84,40,40,1250,12.0 (12_2),4.6,3,1.2,300,4x DP 1.4,GeForce RTX 3090,Ampere-based
RTX-A5000,4/12/2021,GA102-8xx,TBA,TBA,24 (48 with NVLink 3.0),384-bit GDDR6,768,Yes,8192,8.6,256,64,Unknown,Unknown,Unknown,12.0 (12_2),4.6,3,1.2,230,4x DP 1.4,GeForce RTX 3080,Ampere-based
RTX-A4000,4/12/2021,GA104-8xx,TBA,TBA,16,256-bit GDDR6,448,Yes,6144,8.6,192,48,Unknown,Unknown,Unknown,12.0 (12_2),4.6,3,1.2,140,4x DP 1.4,GeForce RTX 3070,Ampere-based
RTX-8000,8/13/2018,TU102-875,1395-1770,1750,48 (96 with NVLink),384-bit GDDR6,672,Yes,4608,7.5,576,72,32.6,16.3,509.8,12.0 (12_2),4.6,3,1.2,295,"4x DP 1.4, Virtual Link",Nvidia TITAN RTX,Turing-based
RTX-6000,8/13/2018,TU102-875,1440-1770,1750,24 (48 with NVLink),384-bit GDDR6,672,Yes,4608,7.5,576,72,32.6,16.3,509.8,12.0 (12_2),4.6,3,1.2,295,"4x DP 1.4, Virtual Link",Nvidia TITAN RTX,Turing-based
RTX-5000,8/13/2018,TU104-875,1620-1815,1750,16 (32 with NVLink),256-bit GDDR6,448,Yes,3072,7.5,384,48,22.3,11.2,350,12.0 (12_2),4.6,3,1.2,265,"4x DP 1.4, Virtual Link",GeForce RTX 2080 Super,Turing-based
RTX-4000,11/13/2018,TU104-850,1005-1545,1625,8,256-bit GDDR6,416,Yes,2304,7.5,288,36,14.2,7.1,221.8,12.0 (12_2),4.6,3,1.2,160,"3x DP 1.4, Virtual Link",GeForce RTX 2070,Turing-based
GV100,3/27/2018,GV100-875,1132-1627,848,32768,4096-bit HBM2,868.4,Yes,5120,7,Unknown,Unknown,Unknown,Unknown,Unknown,12.0 (12_1),4.6,3,1.2,250,4x DP 1.4,Nvidia TITAN V,Volta-based
GP100,2/6/2017,GP100GL,1304-1442,715,16384,4096-bit HBM2,732.2,Yes,3584,6,Unknown,Unknown,Unknown,Unknown,Unknown,12.0 (12_1),4.6,3,1.2,235,"Dual-Link DVI, 4x DP 1.4",Nvidia TITAN xp,Pascal-based
