model,Name,Family,Core,Tubo-Clock,Clock,Cache,Max-Memory,Max-DIMM
unit,,,cores,GHz,GHz,MB,GiB,DIMMs
8256,Intel Xeon Platinum 8256,2nd Gen Intel Xeon CascadeLake,4,3.9,3.8,16.5,1024,12
5222,Intel Xeon Gold 5222,2nd Gen Intel Xeon CascadeLake,4,3.9,3.8,16.5,1024,12
3204,Intel Xeon Bronze 3204,2nd Gen Intel Xeon CascadeLake,6,1.9,1.9,8.25,1024,12
6250L,Intel Xeon Gold 6250L,2nd Gen Intel Xeon CascadeLake,8,4.5,3.9,35.75,4608,12
6250,Intel Xeon Gold 6250,2nd Gen Intel Xeon CascadeLake,8,4.5,3.9,35.75,1024,12
6244,Intel Xeon Gold 6244,2nd Gen Intel Xeon CascadeLake,8,4.4,3.6,24.75,1024,12
6234,Intel Xeon Gold 6234,2nd Gen Intel Xeon CascadeLake,8,4,3.3,24.75,1024,12
5217,Intel Xeon Gold 5217,2nd Gen Intel Xeon CascadeLake,8,3.7,3,11,1024,12
4215R,Intel Xeon Silver 4215R,2nd Gen Intel Xeon CascadeLake,8,4,3.2,11,1024,12
4215,Intel Xeon Silver 4215,2nd Gen Intel Xeon CascadeLake,8,3.5,2.5,11,1024,12
4209T,Intel Xeon Silver 4209T,2nd Gen Intel Xeon CascadeLake,8,3.2,2.2,11,1024,12
4208,Intel Xeon Silver 4208,2nd Gen Intel Xeon CascadeLake,8,3.2,2.1,11,1024,12
3206R,Intel Xeon Bronze 3206R,2nd Gen Intel Xeon CascadeLake,8,1.9,1.9,11,1024,12
5215L,Intel Xeon Gold 5215L,2nd Gen Intel Xeon CascadeLake,10,3.4,2.5,13.75,4608,12
5215M,Intel Xeon Gold 5215M,2nd Gen Intel Xeon CascadeLake,10,3.4,2.5,13.75,2048,12
5215,Intel Xeon Gold 5215,2nd Gen Intel Xeon CascadeLake,10,3.4,2.5,13.75,1024,12
4210T,Intel Xeon Silver 4210T,2nd Gen Intel Xeon CascadeLake,10,3.2,2.3,13.75,1024,12
4210R,Intel Xeon Silver 4210R,2nd Gen Intel Xeon CascadeLake,10,3.2,2.4,13.75,1024,12
4210,Intel Xeon Silver 4210,2nd Gen Intel Xeon CascadeLake,10,3.2,2.2,13.75,1024,12
6256,Intel Xeon Gold 6256,2nd Gen Intel Xeon CascadeLake,12,4.5,3.6,33,1024,12
6246,Intel Xeon Gold 6246,2nd Gen Intel Xeon CascadeLake,12,4.2,3.3,24.75,1024,12
6226,Intel Xeon Gold 6226,2nd Gen Intel Xeon CascadeLake,12,3.7,2.7,19.25,1024,12
4214Y,Intel Xeon Silver 4214Y,2nd Gen Intel Xeon CascadeLake,12,3.2,2.2,16.5,1024,12
4214R,Intel Xeon Silver 4214R,2nd Gen Intel Xeon CascadeLake,12,3.5,2.4,16.5,1024,12
4214,Intel Xeon Silver 4214,2nd Gen Intel Xeon CascadeLake,12,3.2,2.2,16.5,1024,12
8253,Intel Xeon Platinum 8253,2nd Gen Intel Xeon CascadeLake,16,3,2.2,22,1024,12
6246R,Intel Xeon Gold 6246R,2nd Gen Intel Xeon CascadeLake,16,4.1,3.4,35.75,1024,12
6242,Intel Xeon Gold 6242,2nd Gen Intel Xeon CascadeLake,16,3.9,2.8,22,1024,12
6226R,Intel Xeon Gold 6226R,2nd Gen Intel Xeon CascadeLake,16,3.9,2.9,22,1024,12
6208U,Intel Xeon Gold 6208U,2nd Gen Intel Xeon CascadeLake,16,3.9,2.9,22,1024,12
5218T,Intel Xeon Gold 5218T,2nd Gen Intel Xeon CascadeLake,16,3.8,2.1,22,1024,12
5218N,Intel Xeon Gold 5218N,2nd Gen Intel Xeon CascadeLake,16,3.7,2.3,22,1024,12
5218B,Intel Xeon Gold 5218B,2nd Gen Intel Xeon CascadeLake,16,3.9,2.3,22,1024,12
5218,Intel Xeon Gold 5218,2nd Gen Intel Xeon CascadeLake,16,3.9,2.3,22,1024,12
4216,Intel Xeon Silver 4216,2nd Gen Intel Xeon CascadeLake,16,3.2,2.1,22,1024,12
6254,Intel Xeon Gold 6254,2nd Gen Intel Xeon CascadeLake,18,4,3.1,24.75,1024,12
6240Y,Intel Xeon Gold 6240Y,2nd Gen Intel Xeon CascadeLake,18,3.9,2.6,24.75,1024,12
6240L,Intel Xeon Gold 6240L,2nd Gen Intel Xeon CascadeLake,18,3.9,2.6,24.75,4608,12
6240M,Intel Xeon Gold 6240M,2nd Gen Intel Xeon CascadeLake,18,3.9,2.6,24.75,2048,12
6240,Intel Xeon Gold 6240,2nd Gen Intel Xeon CascadeLake,18,3.9,2.6,24.75,1024,12
5220T,Intel Xeon Gold 5220T,2nd Gen Intel Xeon CascadeLake,18,3.9,1.9,24.75,1024,12
5220S,Intel Xeon Gold 5220S,2nd Gen Intel Xeon CascadeLake,18,3.9,2.7,24.75,1024,12
5220,Intel Xeon Gold 5220,2nd Gen Intel Xeon CascadeLake,18,3.9,2.2,24.75,1024,12
6248,Intel Xeon Gold 6248,2nd Gen Intel Xeon CascadeLake,20,3.9,2.5,27.5,1024,12
6242R,Intel Xeon Gold 6242R,2nd Gen Intel Xeon CascadeLake,20,4.1,3.1,35.75,1024,12
6230T,Intel Xeon Gold 6230T,2nd Gen Intel Xeon CascadeLake,20,3.9,2.1,27.5,1024,12
6230N,Intel Xeon Gold 6230N,2nd Gen Intel Xeon CascadeLake,20,3.5,2.3,27.5,1024,12
6230,Intel Xeon Gold 6230,2nd Gen Intel Xeon CascadeLake,20,3.9,2.1,27.5,1024,12
6222V,Intel Xeon Gold 6222V,2nd Gen Intel Xeon CascadeLake,20,3.6,1.8,27.5,1024,12
6210U,Intel Xeon Gold 6210U,2nd Gen Intel Xeon CascadeLake,20,3.9,2.5,27.5,1024,12
6209U,Intel Xeon Gold 6209U,2nd Gen Intel Xeon CascadeLake,20,3.9,2.1,27.5,1024,12
5218R,Intel Xeon Gold 5218R,2nd Gen Intel Xeon CascadeLake,20,4,2.1,27.5,1024,12
6238T,Intel Xeon Gold 6238T,2nd Gen Intel Xeon CascadeLake,22,3.7,1.9,30.25,1024,12
6238L,Intel Xeon Gold 6238L,2nd Gen Intel Xeon CascadeLake,22,3.7,2.1,30.25,4608,12
6238M,Intel Xeon Gold 6238M,2nd Gen Intel Xeon CascadeLake,22,3.7,2.1,30.25,2048,12
6238,Intel Xeon Gold 6238,2nd Gen Intel Xeon CascadeLake,22,3.7,2.1,30.25,1024,12
8268,Intel Xeon Platinum 8268,2nd Gen Intel Xeon CascadeLake,24,3.9,2.9,35.75,1024,12
8260Y,Intel Xeon Platinum 8260Y,2nd Gen Intel Xeon CascadeLake,24,3.9,2.4,35.75,1024,12
8260L,Intel Xeon Platinum 8260L,2nd Gen Intel Xeon CascadeLake,24,3.9,2.4,35.75,4608,12
8260M,Intel Xeon Platinum 8260M,2nd Gen Intel Xeon CascadeLake,24,3.9,2.4,35.75,2048,12
8260,Intel Xeon Platinum 8260,2nd Gen Intel Xeon CascadeLake,24,3.9,2.4,35.75,1024,12
6262V,Intel Xeon Gold 6262V,2nd Gen Intel Xeon CascadeLake,24,3.6,1.9,33,1024,12
6252N,Intel Xeon Gold 6252N,2nd Gen Intel Xeon CascadeLake,24,3.6,2.3,35.75,1024,12
6252,Intel Xeon Gold 6252,2nd Gen Intel Xeon CascadeLake,24,3.7,2.1,35.75,1024,12
6248R,Intel Xeon Gold 6248R,2nd Gen Intel Xeon CascadeLake,24,4,3,35.75,1024,12
6240R,Intel Xeon Gold 6240R,2nd Gen Intel Xeon CascadeLake,24,4,2.4,35.75,1024,12
6212U,Intel Xeon Gold 6212U,2nd Gen Intel Xeon CascadeLake,24,3.9,2.4,35.75,1024,12
5220R,Intel Xeon Gold 5220R,2nd Gen Intel Xeon CascadeLake,24,4,2.2,35.75,1024,12
8270,Intel Xeon Platinum 8270,2nd Gen Intel Xeon CascadeLake,26,4,2.7,35.75,1024,12
6230R,Intel Xeon Gold 6230R,2nd Gen Intel Xeon CascadeLake,26,4,2.1,35.75,1024,12
8280L,Intel Xeon Platinum 8280L,2nd Gen Intel Xeon CascadeLake,28,4,2.7,38.5,4608,12
8280M,Intel Xeon Platinum 8280M,2nd Gen Intel Xeon CascadeLake,28,4,2.7,38.5,2048,12
8280,Intel Xeon Platinum 8280,2nd Gen Intel Xeon CascadeLake,28,4,2.7,38.5,1024,12
8276L,Intel Xeon Platinum 8276L,2nd Gen Intel Xeon CascadeLake,28,4,2.2,38.5,4608,12
8276M,Intel Xeon Platinum 8276M,2nd Gen Intel Xeon CascadeLake,28,4,2.2,38.5,4608,12
8276,Intel Xeon Platinum 8276,2nd Gen Intel Xeon CascadeLake,28,4,2.2,38.5,2048,12
6258R,Intel Xeon Gold 6258R,2nd Gen Intel Xeon CascadeLake,28,4,2.7,38.5,1024,12
6238R,Intel Xeon Gold 6238R,2nd Gen Intel Xeon CascadeLake,28,4,2.2,38.5,1024,12
