model,Name,Family,Core,Tubo-Clock,Clock,Cache,Max-Memory,Max-DIMM
unit,,,cores,GHz,GHz,MB,GiB,DIMMs
8356H,Intel Xeon Platinum 8356H,3rd Gen Intel Xeon CooperLake,8,4.4,3.9,35.75,6144,16
6334,Intel Xeon Gold 6334,3rd Gen Intel Xeon CooperLake,8,3.7,3.6,18,6144,16
5315Y,Intel Xeon Gold 5315Y,3rd Gen Intel Xeon CooperLake,8,3.6,3.2,12,6144,16
4309Y,Intel Xeon Silver 4309Y,3rd Gen Intel Xeon CooperLake,8,3.6,2.8,12,6144,16
4310T,Intel Xeon Silver 4310T,3rd Gen Intel Xeon CooperLake,10,3.4,2.3,15,6144,16
5317,Intel Xeon Gold 5317,3rd Gen Intel Xeon CooperLake,12,3.6,3,18,6144,16
4310,Intel Xeon Silver 4310,3rd Gen Intel Xeon CooperLake,12,3.3,2.1,18,6144,16
6346,Intel Xeon Gold 6346,3rd Gen Intel Xeon CooperLake,16,3.6,3.1,36,6144,16
6328HL,Intel Xeon Gold 6328HL,3rd Gen Intel Xeon CooperLake,16,4.3,2.8,22,6144,16
6328H,Intel Xeon Gold 6328H,3rd Gen Intel Xeon CooperLake,16,4.3,2.8,22,6144,16
6326,Intel Xeon Gold 6326,3rd Gen Intel Xeon CooperLake,16,3.5,2.9,24,6144,16
4314,Intel Xeon Silver 4314,3rd Gen Intel Xeon CooperLake,16,3.4,2.4,24,6144,16
8354H,Intel Xeon Platinum 8354H,3rd Gen Intel Xeon CooperLake,18,4.3,3.1,24.75,6144,16
8353H,Intel Xeon Platinum 8353H,3rd Gen Intel Xeon CooperLake,18,3.8,2.5,24.75,6144,16
6354,Intel Xeon Gold 6354,3rd Gen Intel Xeon CooperLake,18,3.6,3,39,6144,16
5318H,Intel Xeon Gold 5318H,3rd Gen Intel Xeon CooperLake,18,3.8,2.5,24.75,6144,16
5320T,Intel Xeon Gold 5320T,3rd Gen Intel Xeon CooperLake,20,3.5,2.3,30,6144,16
5320H,Intel Xeon Gold 5320H,3rd Gen Intel Xeon CooperLake,20,4.2,2.4,27.5,6144,16
4316,Intel Xeon Silver 4316,3rd Gen Intel Xeon CooperLake,20,3.4,2.3,30,6144,16
8360HL,Intel Xeon Platinum 8360HL,3rd Gen Intel Xeon CooperLake,24,4.2,3,33,6144,16
8360H,Intel Xeon Platinum 8360H,3rd Gen Intel Xeon CooperLake,24,4.2,3,33,6144,16
6348H,Intel Xeon Gold 6348H,3rd Gen Intel Xeon CooperLake,24,4.2,2.3,33,6144,16
6342,Intel Xeon Gold 6342,3rd Gen Intel Xeon CooperLake,24,3.5,2.8,36,6144,16
6338T,Intel Xeon Gold 6338T,3rd Gen Intel Xeon CooperLake,24,3.4,2.1,36,6144,16
6336Y,Intel Xeon Gold 6336Y,3rd Gen Intel Xeon CooperLake,24,3.6,2.4,36,6144,16
6330H,Intel Xeon Gold 6330H,3rd Gen Intel Xeon CooperLake,24,3.7,2,33,6144,16
6312U,Intel Xeon Gold 6312U,3rd Gen Intel Xeon CooperLake,24,3.6,2.4,36,6144,16
5318Y,Intel Xeon Gold 5318Y,3rd Gen Intel Xeon CooperLake,24,3.4,2.1,36,6144,16
5318S,Intel Xeon Gold 5318S,3rd Gen Intel Xeon CooperLake,24,3.4,2.1,36,6144,16
5318N,Intel Xeon Gold 5318N,3rd Gen Intel Xeon CooperLake,24,3.4,2.1,36,6144,16
5320,Intel Xeon Gold 5320,3rd Gen Intel Xeon CooperLake,26,3.4,2.2,39,6144,16
8380HL,Intel Xeon Platinum 8380HL,3rd Gen Intel Xeon CooperLake,28,4.3,2.9,38.5,6144,16
8380H,Intel Xeon Platinum 8380H,3rd Gen Intel Xeon CooperLake,28,4.3,2.9,38.5,6144,16
8376HL,Intel Xeon Platinum 8376HL,3rd Gen Intel Xeon CooperLake,28,4.3,2.6,38.5,6144,16
8376H,Intel Xeon Platinum 8376H,3rd Gen Intel Xeon CooperLake,28,4.3,2.6,38.5,6144,16
6348,Intel Xeon Gold 6348,3rd Gen Intel Xeon CooperLake,28,3.5,2.6,42,6144,16
6330N,Intel Xeon Gold 6330N,3rd Gen Intel Xeon CooperLake,28,3.4,2.2,42,6144,16
6330,Intel Xeon Gold 6330,3rd Gen Intel Xeon CooperLake,28,3.1,2,42,6144,16
8358P,Intel Xeon Platinum 8358P,3rd Gen Intel Xeon CooperLake,32,3.4,2.6,48,6144,16
8358,Intel Xeon Platinum 8358,3rd Gen Intel Xeon CooperLake,32,3.4,2.6,48,6144,16
8352Y,Intel Xeon Platinum 8352Y,3rd Gen Intel Xeon CooperLake,32,3.4,2.2,48,6144,16
8352S,Intel Xeon Platinum 8352S,3rd Gen Intel Xeon CooperLake,32,3.4,2.2,48,6144,16
6338N,Intel Xeon Gold 6338N,3rd Gen Intel Xeon CooperLake,32,3.5,2.2,48,6144,16
6338,Intel Xeon Gold 6338,3rd Gen Intel Xeon CooperLake,32,3.2,2,48,6144,16
6314U,Intel Xeon Gold 6314U,3rd Gen Intel Xeon CooperLake,32,3.4,2.3,48,6144,16
8360Y,Intel Xeon Platinum 8360Y,3rd Gen Intel Xeon CooperLake,36,3.5,2.4,54,6144,16
8352V,Intel Xeon Platinum 8352V,3rd Gen Intel Xeon CooperLake,36,3.5,2.1,54,6144,16
8351N,Intel Xeon Platinum 8351N,3rd Gen Intel Xeon CooperLake,36,3.5,2.4,54,6144,16
8368Q,Intel Xeon Platinum 8368Q,3rd Gen Intel Xeon CooperLake,38,3.7,2.6,57,6144,16
8368,Intel Xeon Platinum 8368,3rd Gen Intel Xeon CooperLake,38,3.4,2.4,57,6144,16
8380,Intel Xeon Platinum 8380,3rd Gen Intel Xeon CooperLake,40,3.4,2.3,60,6144,16
