model,Max-TB-Raw,Max-TiB-Raw,Max-TB-Usable,Max-TB-Usable,Expansion-Shelves,Max-SSD-Cache,Read-IOPs,70%Read-IOPs,Read-GBps(256k),Write-GBps(256k),Onboard-1Gb/10Gb-,Max-iSCSI-1Gb/10Gb-,Max-FC-8Gb/16Gb-,Max-Power,Thermal
unit,TB,TiB,TB,TiB,,TB,IOPs,IOPs,GBps,GBps,Ports,Ports,Ports,,BTU
cs1000h,1198,1090,952,866,6 Hybrid / 1 All Flash,28,40000,35000,NA,NA,4,4,8,500W / 0.56kVA,1638
cs1000,1218,1108,982,893,6 Hybrid / 1 All Flash,28,40000,35000,NA,NA,4,4,8,600W / 0.67kVA,1965
cs3000,1470,1337,1185,1078,6 Hybrid / 1 All Flash,36,60000,50000,NA,NA,4,8,24,700W / 0.78kVA,2293
cs5000,1470,1337,1185,1078,6 Hybrid / 1 All Flash,76,140000,120000,NA,NA,4,12,24,800W / 0.89kVA,2620
cs7000,1470,1337,1185,1078,6 Hybrid / 1 All Flash,108,270000,230000,NA,NA,4,12,24,900W / 1kVA,2948
af1000,46,42,33,30,1 All Flash,0,40000,35000,NA,NA,4,8,8,550W / 0.61kVA ,1802
af3000,92,83,67,61,1 All Flash,0,60000,50000,NA,NA,4,24,24,600W / 0.67kVA,1965
af5000,184,167,136,123,1 All Flash,0,140000,120000,NA,NA,4,24,24,700W / 0.78kVA,2293
af7000,323,293,238,217,2 All Flash,0,270000,230000,NA,NA,4,24,24,800W / 0.89kVA,2620
af9000,553,503,409,372,2 All Flash,0,350000,300000,NA,NA,4,24,24,900W / 1kVA,2948
sf100,126,115,100,91,2 Hybrid,36,20000,NA,NA,NA,4,8,24,700W/0.78kVA,2293
sf300,252,229,200,182,2 Hybrid,76,40000,NA,NA,NA,4,12,24,800W/0.89kVA,2620
HF20,210,191,169,153,6 Hybrid,28,"22,000","29,000",1.4,0.4,4,16,16,750W/0.833kVA,2460
HF20H,211,192,164,149,6 Hybrid,28,"22,000","29,000",0.2,0.2,4,16,16,650W/0.722kVA,2132
HF20C,1050,955,846,770,6 Hybrid,38,"22,000","29,000",1.4,0.4,4,16,16,750W/0.833kVA,2460
HF40,504,458,406,369,6 Hybrid,60,"150,000","100,000",1.5,1.3,4,24,24,850W/0.944kVA,2788
HF40C,1260,1146,1016,924,6 Hybrid,60,"150,000","100,000",1.5,1.3,4,24,24,850W/0.944kVA,2788
HF60,1260,1146,1016,924,6 Hybrid,156,"150,000","100,000",3.9,1.8,4,24,24,850W/0.944kVA,2788
HF60C,1260,1146,1016,924,6 Hybrid,156,"300,000","220,000",3.9,1.8,4,24,24,850W/0.944kVA,2788
AF20Q,46,42,25,23,1 All Flash,0,"29,000","23,000",1.1,0.4,4,16,16,600W/0.667kVA,1968
AF20,46,42,33,30,1 All Flash,0,"29,000","23,000",1.3,0.4,4,16,16,650W/0.722kVA,2132
AF40,184,167,136,124,1 All Flash,0,"160,000","100,000",4,2,4,24,24,800W/0.889kVA,2624
AF60,553,502,407,370,2 All Flash,0,"300,000","240,000",9,3,4,24,24,850W/0.944kVA,2788
AF80,1106,1005,815,741,2 All Flash,0,"420,000","390,000",9,4,4,24,24,1200W/1.333kVA,3936
