model,Name,Family,Core,Tubo-Clock,Clock,Cache,Max-Memory,Max-DIMM
unit,,,cores,GHz,GHz,MB,GiB,DIMMs
7252,AMD EYPC 7252,AMD Rome,8,3.2,3.1,64,4096,16
7262,AMD EYPC 7262,AMD Rome,8,3.4,3.2,128,2048,16
7F32,AMD EYPC 7F32,AMD Rome,8,3.8,3.6,128,4096,16
7262,AMD EYPC 7262,AMD Rome,8,3.4,3.2,128,4096,16
7252,AMD EYPC 7252,AMD Rome,8,3.2,3.1,64,4096,16
7272,AMD EYPC 7272,AMD Rome,12,3.2,2.9,64,4096,16
7272,AMD EYPC 7272,AMD Rome,12,3.2,2.9,64,4096,16
7302,AMD EYPC 7302,AMD Rome,16,3.3,3,128,2048,16
7282,AMD EYPC 7282,AMD Rome,16,3.2,2.8,64,4096,16
7F52,AMD EYPC 7F52,AMD Rome,16,3.8,3.5,256,4096,16
7282,AMD EYPC 7282,AMD Rome,16,3.2,2.8,64,4096,16
7302,AMD EYPC 7302,AMD Rome,16,3.3,3,128,4096,16
7402,AMD EYPC 7402,AMD Rome,24,3.35,2.8,128,2048,16
7352,AMD EYPC 7352,AMD Rome,24,3.2,2.3,128,2048,16
7F72,AMD EYPC 7F72,AMD Rome,24,3.6,3.3,192,4096,16
7402,AMD EYPC 7402,AMD Rome,24,3.35,2.8,128,4096,16
7352,AMD EYPC 7352,AMD Rome,24,3.2,2.3,128,4096,16
7532,AMD EYPC 7532,AMD Rome,32,3.2,2.3,256,4096,16
7502,AMD EYPC 7502,AMD Rome,32,3.35,2.5,128,2048,16
7452,AMD EYPC 7452,AMD Rome,32,3.35,2.35,128,2048,16
7502,AMD EYPC 7502,AMD Rome,32,3.35,2.5,128,4096,16
7542,AMD EYPC 7542,AMD Rome,32,3.4,2.9,128,4096,16
7532,AMD EYPC 7532,AMD Rome,32,3.2,2.3,256,4096,16
7452,AMD EYPC 7452,AMD Rome,32,3.35,2.35,128,4096,16
7552,AMD EYPC 7552,AMD Rome,48,3.3,2.2,192,2048,16
7642,AMD EYPC 7642,AMD Rome,48,3.3,2.3,192,4096,16
7552,AMD EYPC 7552,AMD Rome,48,3.3,2.2,192,4096,16
7702,AMD EYPC 7702,AMD Rome,64,3.35,2,256,2048,16
7742,AMD EYPC 7742,AMD Rome,64,3.4,2.25,256,4096,16
7702,AMD EYPC 7702,AMD Rome,64,3.35,2,256,4096,16
7662,AMD EYPC 7662,AMD Rome,64,3.3,2,256,4096,16
